user_name,solo_rank_match_tier,solo_rank_match_score,party_rank_match_tier,party_rank_match_score,ouid
미드,UNRANK,2300.0,UNRANK,2300.0,a562d72f5e2a91814cde18aa5a0c9b97
소풍,GOLD I,1850.0,SILVER III,1630.0,ee09be66fcfd5a10672223d9f542585c
만남,GOLD I,1861.0,GOLD III,2250.0,a5cd9595e1f9325195c08629431ab9ea
음주냥이,SILVER I,1291.0,UNRANK,1400.0,79d0d4fffb37ce1d0ddf808c8cb63b60
깽히,UNRANK,1750.0,MASTER I,2525.0,3228306efc0137bdce36418c13d941d5
소녀의세계,HIGH RANKER,4057.0,UNRANK,2450.0,5eda75df3f580125d4c030740706d92e
서든러#000833245,UNRANK,1400.0,UNRANK,1400.0,efd30cc1a1301bbfcc00e83592078a2d
S급라플,MASTER I,2587.0,UNRANK,2000.0,d2729e3ed99e1d97c04922997c004454
성이님,MASTER III,2924.0,MASTER III,2997.0,f74b18622a190cf8775f51425dc76faa
꺄,UNRANK,2250.0,UNRANK,2250.0,3fac0580bde1babab2d7882d677f9109
전설,UNRANK,2086.0,UNRANK,1960.0,1179776494b4eb74195cad8b5cc050e1
질,GOLD II,2063.0,MASTER I,2479.0,f07e16a0ce9a959946e7fe8c2043b76c
먹,UNRANK,2084.0,MASTER III,2896.0,2bf7afe25cb698532546956df11d218d
chuby,UNRANK,2500.0,GRAND MASTER I,3045.0,2439b139a720b2aa9e46321db1d911e3
약속,GOLD I,1867.0,GOLD I,1937.0,fb776a5feeb22fb219b0beb05051b0a2
텐시3,LEGEND,3684.0,UNRANK,2500.0,946e6a8ae5c8e4d24316d601d65eeb31
정치,UNRANK,1400.0,UNRANK,1400.0,ba9b226a5c6c8b7218fd953a8e6cf3f9
환각,UNRANK,1500.0,UNRANK,1500.0,5e02207be883f93c9316ac6df946d31e
매화,UNRANK,2400.0,MASTER II,2619.0,d6f659e89208ee013e6aef11c10601d1
포포먼쓰,GOLD III,2285.0,GOLD III,2309.0,59fcd3e4826eafeb22b1179c41154b8f
공군,UNRANK,1950.0,MASTER I,2400.0,1fff781cdee150846edb0af047652fee
과대표,GOLD I,1900.0,MASTER I,2590.0,8a4bfd624198c6c3b55bf09d1145298f
보조개,GOLD II,2160.0,MASTER II,2725.0,5594bf19111070d9a401dbac94109eb4
yong2.wb,UNRANK,1750.0,GOLD I,1827.0,b138e96334c3b6c78429957f1a89fcf6
